dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
MNIST,linear,36,32,25.0,AdvancedCNN,1,3,53,11.248781442642212,0.8889
MNIST,linear,36,32,25.0,AdvancedCNN,2,5,106,7.061284780502319,0.9671
MNIST,linear,36,32,25.0,AdvancedCNN,3,7,159,7.069424152374268,0.978
MNIST,linear,36,32,25.0,AdvancedCNN,4,8,212,6.709167242050171,0.9824
MNIST,linear,36,32,25.0,AdvancedCNN,5,9,265,6.58821964263916,0.9851
MNIST,linear,36,32,25.0,AdvancedCNN,6,11,318,7.056731939315796,0.9869
MNIST,linear,36,32,25.0,AdvancedCNN,7,12,371,6.611147165298462,0.9889
MNIST,linear,36,32,25.0,AdvancedCNN,8,13,424,9.240620374679565,0.9897
MNIST,linear,36,32,25.0,AdvancedCNN,9,14,477,9.369877576828003,0.9912
MNIST,linear,36,32,25.0,AdvancedCNN,10,16,530,7.097363233566284,0.991
MNIST,linear,36,32,25.0,AdvancedCNN,11,17,583,8.869109392166138,0.9918
MNIST,linear,36,32,25.0,AdvancedCNN,12,18,636,6.68385910987854,0.9926
MNIST,linear,36,32,25.0,AdvancedCNN,13,19,689,6.704259157180786,0.9928
MNIST,linear,36,32,25.0,AdvancedCNN,14,20,742,6.674875974655151,0.9934
MNIST,linear,36,32,25.0,AdvancedCNN,15,22,795,9.662513971328735,0.9932
MNIST,linear,36,32,25.0,AdvancedCNN,16,23,848,6.649701118469238,0.9931
MNIST,linear,36,32,25.0,AdvancedCNN,17,24,901,6.6529295444488525,0.9931
MNIST,linear,36,32,25.0,AdvancedCNN,18,26,954,7.099693059921265,0.9937
MNIST,linear,36,32,25.0,AdvancedCNN,19,27,1007,6.693701267242432,0.9945
MNIST,linear,36,32,25.0,AdvancedCNN,20,28,1060,6.612744092941284,0.9943
MNIST,linear,36,32,25.0,AdvancedCNN,21,29,1113,6.586216926574707,0.9939
MNIST,linear,36,32,25.0,AdvancedCNN,22,31,1166,7.046702146530151,0.9945
MNIST,linear,36,32,25.0,AdvancedCNN,23,32,1219,6.604376316070557,0.9944
MNIST,linear,36,32,25.0,AdvancedCNN,24,33,1272,9.074853897094727,0.9946
MNIST,linear,36,32,25.0,AdvancedCNN,25,34,1325,6.598577499389648,0.9945
MNIST,linear,36,32,25.0,AdvancedCNN,26,36,1378,9.699782609939575,0.9944
MNIST,linear,36,32,25.0,AdvancedCNN,27,37,1431,6.6435322761535645,0.9947
MNIST,linear,36,32,25.0,AdvancedCNN,28,38,1484,6.65850567817688,0.9947
MNIST,linear,36,32,25.0,AdvancedCNN,29,39,1537,6.6588685512542725,0.994
MNIST,linear,36,32,25.0,AdvancedCNN,30,41,1590,7.040211200714111,0.9943
MNIST,linear,36,32,25.0,AdvancedCNN,31,42,1643,8.93421721458435,0.9948
MNIST,linear,36,32,25.0,AdvancedCNN,32,43,1696,6.567614793777466,0.9946
MNIST,linear,36,32,25.0,AdvancedCNN,33,44,1749,6.555193662643433,0.9947
MNIST,linear,36,32,25.0,AdvancedCNN,34,45,1802,6.618878602981567,0.9946
MNIST,linear,36,32,25.0,AdvancedCNN,35,47,1855,9.653599500656128,0.9946
MNIST,linear,36,32,25.0,AdvancedCNN,36,48,1908,6.683617115020752,0.9945
MNIST,linear,36,32,25.0,AdvancedCNN,37,49,1961,6.574459075927734,0.9941
MNIST,linear,36,32,25.0,AdvancedCNN,38,50,2014,6.683818101882935,0.9944
MNIST,linear,36,32,25.0,AdvancedCNN,39,51,2067,6.752275228500366,0.9945
MNIST,linear,36,32,25.0,AdvancedCNN,40,53,2120,7.119072437286377,0.995
MNIST,linear,36,32,25.0,AdvancedCNN,41,54,2173,6.797990798950195,0.9943
MNIST,linear,36,32,25.0,AdvancedCNN,42,55,2226,6.697458028793335,0.995
MNIST,linear,36,32,25.0,AdvancedCNN,43,56,2279,6.66819953918457,0.9948
MNIST,linear,36,32,25.0,AdvancedCNN,44,58,2332,7.051394462585449,0.9951
MNIST,linear,36,32,25.0,AdvancedCNN,45,59,2385,6.574186086654663,0.9948
MNIST,linear,36,32,25.0,AdvancedCNN,46,60,2438,6.6394264698028564,0.9946
MNIST,linear,36,32,25.0,AdvancedCNN,47,61,2491,6.497573614120483,0.9953
MNIST,linear,36,32,25.0,AdvancedCNN,48,63,2544,7.041869640350342,0.9951
MNIST,linear,36,32,25.0,AdvancedCNN,49,64,2597,8.82650351524353,0.9945
MNIST,linear,36,32,25.0,AdvancedCNN,50,65,2650,9.242665529251099,0.9947
MNIST,linear,36,32,25.0,AdvancedCNN,51,66,2703,9.359110355377197,0.9951
