dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
MNIST,naive,4,32,25.0,AdvancedCNN,1,14,469,37.40756273269653,0.988
MNIST,naive,4,32,25.0,AdvancedCNN,2,24,938,33.75450897216797,0.991
MNIST,naive,4,32,25.0,AdvancedCNN,3,35,1407,33.56550407409668,0.9919
MNIST,naive,4,32,25.0,AdvancedCNN,4,46,1876,33.49361848831177,0.9942
MNIST,naive,4,32,25.0,AdvancedCNN,5,57,2345,33.30348443984985,0.9923
MNIST,naive,4,32,25.0,AdvancedCNN,6,69,2814,34.08423852920532,0.9949
MNIST,naive,4,32,25.0,AdvancedCNN,7,80,3283,34.044830083847046,0.9948
MNIST,naive,4,32,25.0,AdvancedCNN,8,91,3752,33.74427676200867,0.9945
MNIST,naive,4,32,25.0,AdvancedCNN,9,103,4221,34.41646361351013,0.9933
MNIST,naive,4,32,25.0,AdvancedCNN,10,115,4690,33.97537922859192,0.9942
MNIST,naive,4,32,25.0,AdvancedCNN,11,126,5159,33.76250171661377,0.9944
MNIST,naive,4,32,25.0,AdvancedCNN,12,138,5628,33.88797736167908,0.9955
MNIST,naive,4,32,25.0,AdvancedCNN,13,150,6097,34.0517852306366,0.995
MNIST,naive,4,32,25.0,AdvancedCNN,14,163,6566,34.046954870224,0.9926
MNIST,naive,4,32,25.0,AdvancedCNN,15,176,7035,34.2239727973938,0.995
MNIST,naive,4,32,25.0,AdvancedCNN,16,187,7504,33.63528251647949,0.9949
MNIST,naive,4,32,25.0,AdvancedCNN,17,200,7973,33.88517689704895,0.994
MNIST,naive,4,32,25.0,AdvancedCNN,18,213,8442,33.7878954410553,0.9942
MNIST,naive,4,32,25.0,AdvancedCNN,19,223,8911,33.604358196258545,0.9947
MNIST,naive,4,32,25.0,AdvancedCNN,20,233,9380,33.7143759727478,0.9958
MNIST,naive,4,32,25.0,AdvancedCNN,21,243,9849,33.64500975608826,0.9952
MNIST,naive,4,32,25.0,AdvancedCNN,22,256,10318,33.954177141189575,0.9951
MNIST,naive,4,32,25.0,AdvancedCNN,23,268,10787,33.78493142127991,0.9949
MNIST,naive,4,32,25.0,AdvancedCNN,24,280,11256,34.03586483001709,0.9954
MNIST,naive,4,32,25.0,AdvancedCNN,25,292,11725,33.79414749145508,0.9936
MNIST,naive,4,32,25.0,AdvancedCNN,26,304,12194,33.95644974708557,0.9938
MNIST,naive,4,32,25.0,AdvancedCNN,27,312,12663,33.294554471969604,0.9939
MNIST,naive,4,32,25.0,AdvancedCNN,28,321,13132,33.70347762107849,0.9954
MNIST,naive,4,32,25.0,AdvancedCNN,29,329,13601,33.27422332763672,0.994
MNIST,naive,4,32,25.0,AdvancedCNN,30,340,14070,33.547367811203,0.9949
MNIST,naive,4,32,25.0,AdvancedCNN,31,353,14539,33.951528549194336,0.9946
MNIST,naive,4,32,25.0,AdvancedCNN,32,366,15008,33.93395495414734,0.9951
MNIST,naive,4,32,25.0,AdvancedCNN,33,375,15477,33.554603099823,0.9952
MNIST,naive,4,32,25.0,AdvancedCNN,34,381,15946,32.743693351745605,0.9956
MNIST,naive,4,32,25.0,AdvancedCNN,35,392,16415,33.52167010307312,0.9942
MNIST,naive,4,32,25.0,AdvancedCNN,36,403,16884,34.07270622253418,0.9934
MNIST,naive,4,32,25.0,AdvancedCNN,37,416,17353,34.132837533950806,0.9938
MNIST,naive,4,32,25.0,AdvancedCNN,38,427,17822,33.54962396621704,0.9946
MNIST,naive,4,32,25.0,AdvancedCNN,39,438,18291,33.59836483001709,0.9946
MNIST,naive,4,32,25.0,AdvancedCNN,40,446,18760,33.157540798187256,0.9946
MNIST,naive,4,32,25.0,AdvancedCNN,41,459,19229,33.91754651069641,0.9956
MNIST,naive,4,32,25.0,AdvancedCNN,42,467,19698,33.693695068359375,0.994
MNIST,naive,4,32,25.0,AdvancedCNN,43,476,20167,33.671146392822266,0.9948
MNIST,naive,4,32,25.0,AdvancedCNN,44,484,20636,33.23440194129944,0.9951
MNIST,naive,4,32,25.0,AdvancedCNN,45,499,21105,34.41401720046997,0.995
MNIST,naive,4,32,25.0,AdvancedCNN,46,509,21574,33.4347722530365,0.9955
MNIST,naive,4,32,25.0,AdvancedCNN,47,514,22043,32.89669489860535,0.995
MNIST,naive,4,32,25.0,AdvancedCNN,48,525,22512,33.855146646499634,0.9935
MNIST,naive,4,32,25.0,AdvancedCNN,49,535,22981,33.86069321632385,0.995
MNIST,naive,4,32,25.0,AdvancedCNN,50,544,23450,33.38433766365051,0.9951
MNIST,naive,4,32,25.0,AdvancedCNN,51,552,23919,33.11164903640747,0.995
