dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
MNIST,sketch,12,32,25.0,AdvancedCNN,1,6,157,23.00252389907837,0.9755
MNIST,sketch,12,32,25.0,AdvancedCNN,2,9,314,18.54496669769287,0.9859
MNIST,sketch,12,32,25.0,AdvancedCNN,3,12,471,18.82495141029358,0.9892
MNIST,sketch,12,32,25.0,AdvancedCNN,4,15,628,18.758285999298096,0.9909
MNIST,sketch,12,32,25.0,AdvancedCNN,5,18,785,18.73723816871643,0.9915
MNIST,sketch,12,32,25.0,AdvancedCNN,6,21,942,18.720420598983765,0.9928
MNIST,sketch,12,32,25.0,AdvancedCNN,7,24,1099,18.79723024368286,0.9935
MNIST,sketch,12,32,25.0,AdvancedCNN,8,27,1256,18.648930072784424,0.9933
MNIST,sketch,12,32,25.0,AdvancedCNN,9,30,1413,18.68724799156189,0.9942
MNIST,sketch,12,32,25.0,AdvancedCNN,10,33,1570,18.799306631088257,0.9945
MNIST,sketch,12,32,25.0,AdvancedCNN,11,36,1727,18.688294649124146,0.9945
MNIST,sketch,12,32,25.0,AdvancedCNN,12,39,1884,18.692372798919678,0.9949
MNIST,sketch,12,32,25.0,AdvancedCNN,13,42,2041,18.653709173202515,0.9952
MNIST,sketch,12,32,25.0,AdvancedCNN,14,46,2198,18.8908588886261,0.9949
MNIST,sketch,12,32,25.0,AdvancedCNN,15,49,2355,18.672742128372192,0.9951
MNIST,sketch,12,32,25.0,AdvancedCNN,16,52,2512,18.585649013519287,0.9951
MNIST,sketch,12,32,25.0,AdvancedCNN,17,55,2669,18.64661145210266,0.9944
MNIST,sketch,12,32,25.0,AdvancedCNN,18,59,2826,19.036505699157715,0.9949
MNIST,sketch,12,32,25.0,AdvancedCNN,19,62,2983,18.640430450439453,0.9951
MNIST,sketch,12,32,25.0,AdvancedCNN,20,66,3140,18.952721118927002,0.9952
MNIST,sketch,12,32,25.0,AdvancedCNN,21,69,3297,18.744407415390015,0.9949
MNIST,sketch,12,32,25.0,AdvancedCNN,22,72,3454,18.766114711761475,0.9956
MNIST,sketch,12,32,25.0,AdvancedCNN,23,75,3611,18.785444021224976,0.9954
MNIST,sketch,12,32,25.0,AdvancedCNN,24,78,3768,18.64512324333191,0.9959
MNIST,sketch,12,32,25.0,AdvancedCNN,25,81,3925,18.58214020729065,0.9955
MNIST,sketch,12,32,25.0,AdvancedCNN,26,84,4082,18.683382272720337,0.9949
MNIST,sketch,12,32,25.0,AdvancedCNN,27,87,4239,18.697744846343994,0.9949
MNIST,sketch,12,32,25.0,AdvancedCNN,28,90,4396,18.713148593902588,0.995
MNIST,sketch,12,32,25.0,AdvancedCNN,29,94,4553,18.893335819244385,0.9955
MNIST,sketch,12,32,25.0,AdvancedCNN,30,98,4710,18.904447078704834,0.995
MNIST,sketch,12,32,25.0,AdvancedCNN,31,101,4867,18.660956859588623,0.9954
MNIST,sketch,12,32,25.0,AdvancedCNN,32,103,5024,18.312610387802124,0.9951
MNIST,sketch,12,32,25.0,AdvancedCNN,33,106,5181,18.759078979492188,0.9946
MNIST,sketch,12,32,25.0,AdvancedCNN,34,110,5338,18.955078125,0.9951
MNIST,sketch,12,32,25.0,AdvancedCNN,35,113,5495,18.723276615142822,0.9953
MNIST,sketch,12,32,25.0,AdvancedCNN,36,116,5652,18.631320476531982,0.9955
MNIST,sketch,12,32,25.0,AdvancedCNN,37,119,5809,18.60186219215393,0.996
MNIST,sketch,12,32,25.0,AdvancedCNN,38,123,5966,18.953376531600952,0.9954
MNIST,sketch,12,32,25.0,AdvancedCNN,39,126,6123,18.64610528945923,0.9957
MNIST,sketch,12,32,25.0,AdvancedCNN,40,129,6280,18.601492166519165,0.9954
MNIST,sketch,12,32,25.0,AdvancedCNN,41,133,6437,18.834132194519043,0.9956
MNIST,sketch,12,32,25.0,AdvancedCNN,42,136,6594,18.61467146873474,0.9958
MNIST,sketch,12,32,25.0,AdvancedCNN,43,139,6751,18.583823919296265,0.9957
MNIST,sketch,12,32,25.0,AdvancedCNN,44,142,6908,18.66936445236206,0.995
MNIST,sketch,12,32,25.0,AdvancedCNN,45,145,7065,18.627328395843506,0.9952
MNIST,sketch,12,32,25.0,AdvancedCNN,46,148,7222,18.61379647254944,0.9954
MNIST,sketch,12,32,25.0,AdvancedCNN,47,151,7379,18.604214429855347,0.9953
MNIST,sketch,12,32,25.0,AdvancedCNN,48,155,7536,18.81084132194519,0.9957
MNIST,sketch,12,32,25.0,AdvancedCNN,49,159,7693,18.89827561378479,0.9956
MNIST,sketch,12,32,25.0,AdvancedCNN,50,163,7850,18.93425464630127,0.9946
MNIST,sketch,12,32,25.0,AdvancedCNN,51,165,8007,18.347121715545654,0.9951
