dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
CIFAR10,naive,24,32,250.0,DenseNet121,1,10,66,100.34672999382019,0.1042
CIFAR10,naive,24,32,250.0,DenseNet121,2,12,132,61.6297812461853,0.1826
CIFAR10,naive,24,32,250.0,DenseNet121,3,12,198,53.58255124092102,0.3311
CIFAR10,naive,24,32,250.0,DenseNet121,4,13,264,57.43511462211609,0.3511
CIFAR10,naive,24,32,250.0,DenseNet121,5,13,330,53.75805425643921,0.3856
CIFAR10,naive,24,32,250.0,DenseNet121,6,13,396,53.68542408943176,0.4208
CIFAR10,naive,24,32,250.0,DenseNet121,7,14,462,57.555063009262085,0.4344
CIFAR10,naive,24,32,250.0,DenseNet121,8,14,528,53.60798740386963,0.4495
CIFAR10,naive,24,32,250.0,DenseNet121,9,14,594,53.640175342559814,0.479
CIFAR10,naive,24,32,250.0,DenseNet121,10,14,660,53.62483072280884,0.4951
CIFAR10,naive,24,32,250.0,DenseNet121,11,15,726,57.726157903671265,0.5043
CIFAR10,naive,24,32,250.0,DenseNet121,12,15,792,53.32063436508179,0.5204
CIFAR10,naive,24,32,250.0,DenseNet121,13,16,858,57.31068539619446,0.5338
CIFAR10,naive,24,32,250.0,DenseNet121,14,16,924,53.729957818984985,0.5537
CIFAR10,naive,24,32,250.0,DenseNet121,15,16,990,53.74567794799805,0.5659
CIFAR10,naive,24,32,250.0,DenseNet121,16,17,1056,57.532187938690186,0.5759
CIFAR10,naive,24,32,250.0,DenseNet121,17,17,1122,53.56121039390564,0.5795
CIFAR10,naive,24,32,250.0,DenseNet121,18,18,1188,57.545716762542725,0.5901
CIFAR10,naive,24,32,250.0,DenseNet121,19,18,1254,53.72074294090271,0.6028
CIFAR10,naive,24,32,250.0,DenseNet121,20,19,1320,57.788567543029785,0.6231
CIFAR10,naive,24,32,250.0,DenseNet121,21,19,1386,53.72114658355713,0.6308
CIFAR10,naive,24,32,250.0,DenseNet121,22,20,1452,57.59238362312317,0.6415
CIFAR10,naive,24,32,250.0,DenseNet121,23,20,1518,53.51102900505066,0.6538
CIFAR10,naive,24,32,250.0,DenseNet121,24,21,1584,57.48495936393738,0.6513
CIFAR10,naive,24,32,250.0,DenseNet121,25,22,1650,57.504055976867676,0.6649
CIFAR10,naive,24,32,250.0,DenseNet121,26,22,1716,53.50310945510864,0.6693
CIFAR10,naive,24,32,250.0,DenseNet121,27,23,1782,57.46933102607727,0.6795
CIFAR10,naive,24,32,250.0,DenseNet121,28,23,1848,53.745092153549194,0.6887
CIFAR10,naive,24,32,250.0,DenseNet121,29,24,1914,57.28794026374817,0.6885
CIFAR10,naive,24,32,250.0,DenseNet121,30,25,1980,57.5843780040741,0.6934
CIFAR10,naive,24,32,250.0,DenseNet121,31,25,2046,53.921443462371826,0.6952
CIFAR10,naive,24,32,250.0,DenseNet121,32,26,2112,57.59426283836365,0.7057
CIFAR10,naive,24,32,250.0,DenseNet121,33,27,2178,57.36533999443054,0.7155
CIFAR10,naive,24,32,250.0,DenseNet121,34,27,2244,53.70840096473694,0.7159
CIFAR10,naive,24,32,250.0,DenseNet121,35,28,2310,57.44322752952576,0.7153
CIFAR10,naive,24,32,250.0,DenseNet121,36,29,2376,57.639251947402954,0.7199
CIFAR10,naive,24,32,250.0,DenseNet121,37,30,2442,57.37211751937866,0.7306
CIFAR10,naive,24,32,250.0,DenseNet121,38,30,2508,53.47465205192566,0.7266
CIFAR10,naive,24,32,250.0,DenseNet121,39,31,2574,57.620670795440674,0.7333
CIFAR10,naive,24,32,250.0,DenseNet121,40,32,2640,57.76092863082886,0.7429
CIFAR10,naive,24,32,250.0,DenseNet121,41,33,2706,57.69400501251221,0.7332
CIFAR10,naive,24,32,250.0,DenseNet121,42,33,2772,53.74616885185242,0.7466
CIFAR10,naive,24,32,250.0,DenseNet121,43,34,2838,57.50075316429138,0.745
CIFAR10,naive,24,32,250.0,DenseNet121,44,35,2904,57.623852491378784,0.7407
CIFAR10,naive,24,32,250.0,DenseNet121,45,36,2970,57.66405701637268,0.744
CIFAR10,naive,24,32,250.0,DenseNet121,46,37,3036,57.738606452941895,0.7543
CIFAR10,naive,24,32,250.0,DenseNet121,47,38,3102,57.846816539764404,0.7558
CIFAR10,naive,24,32,250.0,DenseNet121,48,39,3168,57.43031692504883,0.7596
CIFAR10,naive,24,32,250.0,DenseNet121,49,39,3234,53.755425691604614,0.7621
CIFAR10,naive,24,32,250.0,DenseNet121,50,40,3300,57.464223861694336,0.7502
CIFAR10,naive,24,32,250.0,DenseNet121,51,41,3366,57.514729022979736,0.7585
CIFAR10,naive,24,32,250.0,DenseNet121,52,42,3432,57.34292197227478,0.7634
CIFAR10,naive,24,32,250.0,DenseNet121,53,43,3498,57.565858602523804,0.7632
CIFAR10,naive,24,32,250.0,DenseNet121,54,44,3564,57.40728998184204,0.7577
CIFAR10,naive,24,32,250.0,DenseNet121,55,45,3630,57.68694067001343,0.7677
CIFAR10,naive,24,32,250.0,DenseNet121,56,46,3696,57.43110370635986,0.7751
CIFAR10,naive,24,32,250.0,DenseNet121,57,47,3762,57.510308504104614,0.7715
CIFAR10,naive,24,32,250.0,DenseNet121,58,48,3828,57.618603229522705,0.7794
CIFAR10,naive,24,32,250.0,DenseNet121,59,49,3894,57.59314966201782,0.7764
CIFAR10,naive,24,32,250.0,DenseNet121,60,50,3960,57.96782112121582,0.7743
CIFAR10,naive,24,32,250.0,DenseNet121,61,51,4026,57.475072145462036,0.7779
CIFAR10,naive,24,32,250.0,DenseNet121,62,52,4092,57.60947036743164,0.7777
CIFAR10,naive,24,32,250.0,DenseNet121,63,54,4158,61.66440224647522,0.7781
CIFAR10,naive,24,32,250.0,DenseNet121,64,55,4224,57.59293580055237,0.7845
CIFAR10,naive,24,32,250.0,DenseNet121,65,56,4290,57.574106216430664,0.7793
CIFAR10,naive,24,32,250.0,DenseNet121,66,57,4356,57.45701837539673,0.783
CIFAR10,naive,24,32,250.0,DenseNet121,67,58,4422,57.926331520080566,0.7896
CIFAR10,naive,24,32,250.0,DenseNet121,68,59,4488,57.45042443275452,0.7869
CIFAR10,naive,24,32,250.0,DenseNet121,69,60,4554,57.564472913742065,0.7873
CIFAR10,naive,24,32,250.0,DenseNet121,70,62,4620,61.62691354751587,0.7901
CIFAR10,naive,24,32,250.0,DenseNet121,71,63,4686,57.84293174743652,0.7931
CIFAR10,naive,24,32,250.0,DenseNet121,72,64,4752,57.653910875320435,0.7824
CIFAR10,naive,24,32,250.0,DenseNet121,73,65,4818,57.636948108673096,0.7921
CIFAR10,naive,24,32,250.0,DenseNet121,74,67,4884,61.37585520744324,0.7878
CIFAR10,naive,24,32,250.0,DenseNet121,75,68,4950,57.65730929374695,0.7904
CIFAR10,naive,24,32,250.0,DenseNet121,76,69,5016,57.66899394989014,0.7824
CIFAR10,naive,24,32,250.0,DenseNet121,77,70,5082,57.54629564285278,0.7899
CIFAR10,naive,24,32,250.0,DenseNet121,78,72,5148,61.47103142738342,0.7927
CIFAR10,naive,24,32,250.0,DenseNet121,79,73,5214,57.66840887069702,0.7924
CIFAR10,naive,24,32,250.0,DenseNet121,80,74,5280,57.495092153549194,0.7955
CIFAR10,naive,24,32,250.0,DenseNet121,81,76,5346,61.35965418815613,0.7928
CIFAR10,naive,24,32,250.0,DenseNet121,82,77,5412,57.27951240539551,0.7954
CIFAR10,naive,24,32,250.0,DenseNet121,83,78,5478,57.68989181518555,0.7934
CIFAR10,naive,24,32,250.0,DenseNet121,84,80,5544,61.761985540390015,0.7927
CIFAR10,naive,24,32,250.0,DenseNet121,85,81,5610,57.99108386039734,0.7959
CIFAR10,naive,24,32,250.0,DenseNet121,86,83,5676,61.48280048370361,0.7942
CIFAR10,naive,24,32,250.0,DenseNet121,87,84,5742,57.590831995010376,0.7971
CIFAR10,naive,24,32,250.0,DenseNet121,88,85,5808,57.36765265464783,0.7962
CIFAR10,naive,24,32,250.0,DenseNet121,89,87,5874,61.50716710090637,0.7987
CIFAR10,naive,24,32,250.0,DenseNet121,90,88,5940,57.48161959648132,0.7977
CIFAR10,naive,24,32,250.0,DenseNet121,91,90,6006,61.480388164520264,0.8002
CIFAR10,naive,24,32,250.0,DenseNet121,92,91,6072,57.72785305976868,0.7968
CIFAR10,naive,24,32,250.0,DenseNet121,93,92,6138,57.39349865913391,0.7952
CIFAR10,naive,24,32,250.0,DenseNet121,94,94,6204,61.25573754310608,0.7998
CIFAR10,naive,24,32,250.0,DenseNet121,95,95,6270,57.627164363861084,0.7928
