dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
CIFAR10,linear,36,32,250.0,DenseNet201,1,19,44,270.9184317588806,0.1
CIFAR10,linear,36,32,250.0,DenseNet201,2,22,88,94.40192818641663,0.1135
CIFAR10,linear,36,32,250.0,DenseNet201,3,23,132,74.04852318763733,0.1225
CIFAR10,linear,36,32,250.0,DenseNet201,4,24,176,74.03732705116272,0.1145
CIFAR10,linear,36,32,250.0,DenseNet201,5,24,220,64.02197313308716,0.1108
CIFAR10,linear,36,32,250.0,DenseNet201,6,25,264,74.3989360332489,0.1039
CIFAR10,linear,36,32,250.0,DenseNet201,7,25,308,64.2719976902008,0.1079
CIFAR10,linear,36,32,250.0,DenseNet201,8,26,352,74.27621936798096,0.1088
CIFAR10,linear,36,32,250.0,DenseNet201,9,26,396,64.29442381858826,0.1158
CIFAR10,linear,36,32,250.0,DenseNet201,10,26,440,63.96651744842529,0.151
CIFAR10,linear,36,32,250.0,DenseNet201,11,27,484,74.20499324798584,0.1559
CIFAR10,linear,36,32,250.0,DenseNet201,12,27,528,63.61103534698486,0.1935
CIFAR10,linear,36,32,250.0,DenseNet201,13,27,572,63.918654680252075,0.2104
CIFAR10,linear,36,32,250.0,DenseNet201,14,27,616,63.68928146362305,0.2186
CIFAR10,linear,36,32,250.0,DenseNet201,15,27,660,64.70583009719849,0.231
CIFAR10,linear,36,32,250.0,DenseNet201,16,27,704,64.30895948410034,0.2457
CIFAR10,linear,36,32,250.0,DenseNet201,17,27,748,64.62362790107727,0.2362
CIFAR10,linear,36,32,250.0,DenseNet201,18,27,792,63.82033824920654,0.2388
CIFAR10,linear,36,32,250.0,DenseNet201,19,28,836,74.37872123718262,0.2459
CIFAR10,linear,36,32,250.0,DenseNet201,20,28,880,64.2281436920166,0.2615
CIFAR10,linear,36,32,250.0,DenseNet201,21,28,924,64.15720295906067,0.2618
CIFAR10,linear,36,32,250.0,DenseNet201,22,28,968,63.731898069381714,0.286
CIFAR10,linear,36,32,250.0,DenseNet201,23,28,1012,63.54963684082031,0.2974
CIFAR10,linear,36,32,250.0,DenseNet201,24,28,1056,63.82007360458374,0.3103
CIFAR10,linear,36,32,250.0,DenseNet201,25,28,1100,64.39941048622131,0.3054
CIFAR10,linear,36,32,250.0,DenseNet201,26,28,1144,63.73667764663696,0.3236
CIFAR10,linear,36,32,250.0,DenseNet201,27,28,1188,63.82293510437012,0.3316
