dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
CIFAR10,sketch,20,32,500.0,DenseNet201,1,13,79,223.58252549171448,0.0905
CIFAR10,sketch,20,32,500.0,DenseNet201,2,14,158,135.50202012062073,0.2456
CIFAR10,sketch,20,32,500.0,DenseNet201,3,14,237,129.19745564460754,0.2505
CIFAR10,sketch,20,32,500.0,DenseNet201,4,14,316,129.53821539878845,0.2472
CIFAR10,sketch,20,32,500.0,DenseNet201,5,14,395,129.59613132476807,0.2647
CIFAR10,sketch,20,32,500.0,DenseNet201,6,14,474,129.60358834266663,0.3039
CIFAR10,sketch,20,32,500.0,DenseNet201,7,14,553,130.66585636138916,0.3097
CIFAR10,sketch,20,32,500.0,DenseNet201,8,15,632,135.85538411140442,0.3687
CIFAR10,sketch,20,32,500.0,DenseNet201,9,15,711,129.75402450561523,0.415
CIFAR10,sketch,20,32,500.0,DenseNet201,10,15,790,130.15960359573364,0.4257
CIFAR10,sketch,20,32,500.0,DenseNet201,11,15,869,130.40017795562744,0.4333
CIFAR10,sketch,20,32,500.0,DenseNet201,12,15,948,129.29215812683105,0.4246
CIFAR10,sketch,20,32,500.0,DenseNet201,13,15,1027,128.71863865852356,0.4303
CIFAR10,sketch,20,32,500.0,DenseNet201,14,15,1106,129.26417922973633,0.4476
CIFAR10,sketch,20,32,500.0,DenseNet201,15,15,1185,128.6742136478424,0.4554
CIFAR10,sketch,20,32,500.0,DenseNet201,16,16,1264,135.6912877559662,0.4457
CIFAR10,sketch,20,32,500.0,DenseNet201,17,16,1343,129.11739587783813,0.4868
CIFAR10,sketch,20,32,500.0,DenseNet201,18,16,1422,128.72824501991272,0.4845
CIFAR10,sketch,20,32,500.0,DenseNet201,19,16,1501,129.66994500160217,0.4954
CIFAR10,sketch,20,32,500.0,DenseNet201,20,16,1580,128.8698868751526,0.5138
CIFAR10,sketch,20,32,500.0,DenseNet201,21,16,1659,128.73204803466797,0.516
CIFAR10,sketch,20,32,500.0,DenseNet201,22,16,1738,128.9667751789093,0.5146
CIFAR10,sketch,20,32,500.0,DenseNet201,23,17,1817,134.98035383224487,0.5339
CIFAR10,sketch,20,32,500.0,DenseNet201,24,17,1896,128.52123260498047,0.5451
CIFAR10,sketch,20,32,500.0,DenseNet201,25,17,1975,128.6393804550171,0.5565
CIFAR10,sketch,20,32,500.0,DenseNet201,26,17,2054,128.99031496047974,0.5626
CIFAR10,sketch,20,32,500.0,DenseNet201,27,17,2133,129.32110977172852,0.5624
CIFAR10,sketch,20,32,500.0,DenseNet201,28,18,2212,135.40254735946655,0.5757
CIFAR10,sketch,20,32,500.0,DenseNet201,29,18,2291,129.23391318321228,0.5748
CIFAR10,sketch,20,32,500.0,DenseNet201,30,18,2370,129.69846606254578,0.5924
CIFAR10,sketch,20,32,500.0,DenseNet201,31,18,2449,129.12391424179077,0.5974
CIFAR10,sketch,20,32,500.0,DenseNet201,32,19,2528,135.04224681854248,0.5944
CIFAR10,sketch,20,32,500.0,DenseNet201,33,19,2607,129.21454429626465,0.6057
CIFAR10,sketch,20,32,500.0,DenseNet201,34,19,2686,129.84608340263367,0.6062
CIFAR10,sketch,20,32,500.0,DenseNet201,35,19,2765,129.11330103874207,0.6178
CIFAR10,sketch,20,32,500.0,DenseNet201,36,20,2844,135.05231857299805,0.6217
CIFAR10,sketch,20,32,500.0,DenseNet201,37,20,2923,128.66085863113403,0.6278
CIFAR10,sketch,20,32,500.0,DenseNet201,38,20,3002,128.84701538085938,0.6278
CIFAR10,sketch,20,32,500.0,DenseNet201,39,20,3081,129.0293333530426,0.642
CIFAR10,sketch,20,32,500.0,DenseNet201,40,21,3160,135.68238759040833,0.6488
CIFAR10,sketch,20,32,500.0,DenseNet201,41,21,3239,129.23301362991333,0.6559
CIFAR10,sketch,20,32,500.0,DenseNet201,42,21,3318,128.93650245666504,0.6524
CIFAR10,sketch,20,32,500.0,DenseNet201,43,22,3397,135.1245255470276,0.6583
CIFAR10,sketch,20,32,500.0,DenseNet201,44,22,3476,128.65954971313477,0.6688
CIFAR10,sketch,20,32,500.0,DenseNet201,45,22,3555,129.14139342308044,0.664
CIFAR10,sketch,20,32,500.0,DenseNet201,46,23,3634,134.933203458786,0.6756
CIFAR10,sketch,20,32,500.0,DenseNet201,47,23,3713,129.40356349945068,0.6716
CIFAR10,sketch,20,32,500.0,DenseNet201,48,23,3792,129.19506239891052,0.6766
CIFAR10,sketch,20,32,500.0,DenseNet201,49,24,3871,135.69306921958923,0.6808
CIFAR10,sketch,20,32,500.0,DenseNet201,50,24,3950,129.3659360408783,0.6896
CIFAR10,sketch,20,32,500.0,DenseNet201,51,25,4029,135.36239385604858,0.6942
CIFAR10,sketch,20,32,500.0,DenseNet201,52,25,4108,129.23478865623474,0.6974
