dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
MNIST,linear,36,32,1.0,LeNet-5,1,3,53,7.499622106552124,0.8818
MNIST,linear,36,32,1.0,LeNet-5,2,5,106,5.029098987579346,0.9076
MNIST,linear,36,32,1.0,LeNet-5,3,6,159,5.005619287490845,0.9197
MNIST,linear,36,32,1.0,LeNet-5,4,7,212,4.945878028869629,0.9272
MNIST,linear,36,32,1.0,LeNet-5,5,8,265,4.983001470565796,0.9354
MNIST,linear,36,32,1.0,LeNet-5,6,9,318,4.979436874389648,0.9383
MNIST,linear,36,32,1.0,LeNet-5,7,10,371,4.990767955780029,0.9428
MNIST,linear,36,32,1.0,LeNet-5,8,12,424,5.151261806488037,0.9486
MNIST,linear,36,32,1.0,LeNet-5,9,13,477,4.976914882659912,0.9519
MNIST,linear,36,32,1.0,LeNet-5,10,14,530,4.977893114089966,0.9549
MNIST,linear,36,32,1.0,LeNet-5,11,15,583,4.911526679992676,0.9567
MNIST,linear,36,32,1.0,LeNet-5,12,16,636,4.935493469238281,0.9605
MNIST,linear,36,32,1.0,LeNet-5,13,17,689,4.991320371627808,0.9623
MNIST,linear,36,32,1.0,LeNet-5,14,19,742,5.133774995803833,0.964
MNIST,linear,36,32,1.0,LeNet-5,15,20,795,4.931996583938599,0.9656
MNIST,linear,36,32,1.0,LeNet-5,16,21,848,4.9228196144104,0.967
MNIST,linear,36,32,1.0,LeNet-5,17,22,901,4.946027755737305,0.9692
MNIST,linear,36,32,1.0,LeNet-5,18,23,954,4.968825101852417,0.9701
MNIST,linear,36,32,1.0,LeNet-5,19,25,1007,5.189054250717163,0.9705
MNIST,linear,36,32,1.0,LeNet-5,20,26,1060,5.004488468170166,0.9714
MNIST,linear,36,32,1.0,LeNet-5,21,27,1113,4.981991291046143,0.9731
MNIST,linear,36,32,1.0,LeNet-5,22,28,1166,4.95490837097168,0.9737
MNIST,linear,36,32,1.0,LeNet-5,23,30,1219,5.148721218109131,0.9751
MNIST,linear,36,32,1.0,LeNet-5,24,31,1272,4.985797166824341,0.9756
MNIST,linear,36,32,1.0,LeNet-5,25,32,1325,5.149345636367798,0.9761
MNIST,linear,36,32,1.0,LeNet-5,26,33,1378,5.008813381195068,0.9772
MNIST,linear,36,32,1.0,LeNet-5,27,35,1431,5.1245152950286865,0.9779
MNIST,linear,36,32,1.0,LeNet-5,28,36,1484,4.998619794845581,0.9787
MNIST,linear,36,32,1.0,LeNet-5,29,37,1537,4.944350481033325,0.9789
MNIST,linear,36,32,1.0,LeNet-5,30,38,1590,4.950685501098633,0.9794
MNIST,linear,36,32,1.0,LeNet-5,31,39,1643,4.93277382850647,0.9793
MNIST,linear,36,32,1.0,LeNet-5,32,41,1696,5.131075382232666,0.98
MNIST,linear,36,32,1.0,LeNet-5,33,42,1749,4.955884218215942,0.981
MNIST,linear,36,32,1.0,LeNet-5,34,43,1802,4.937169313430786,0.9813
MNIST,linear,36,32,1.0,LeNet-5,35,44,1855,5.015431642532349,0.9812
MNIST,linear,36,32,1.0,LeNet-5,36,46,1908,5.188863754272461,0.9808
MNIST,linear,36,32,1.0,LeNet-5,37,47,1961,4.993679523468018,0.9815
MNIST,linear,36,32,1.0,LeNet-5,38,48,2014,4.957791805267334,0.9823
MNIST,linear,36,32,1.0,LeNet-5,39,49,2067,4.970262050628662,0.9817
MNIST,linear,36,32,1.0,LeNet-5,40,51,2120,5.178428411483765,0.982
MNIST,linear,36,32,1.0,LeNet-5,41,52,2173,4.995999813079834,0.9828
MNIST,linear,36,32,1.0,LeNet-5,42,53,2226,4.993762016296387,0.9826
MNIST,linear,36,32,1.0,LeNet-5,43,54,2279,4.924833059310913,0.9829
MNIST,linear,36,32,1.0,LeNet-5,44,55,2332,4.955544948577881,0.9829
MNIST,linear,36,32,1.0,LeNet-5,45,57,2385,5.120473384857178,0.9834
MNIST,linear,36,32,1.0,LeNet-5,46,58,2438,4.90883994102478,0.9838
MNIST,linear,36,32,1.0,LeNet-5,47,59,2491,4.94007682800293,0.9835
MNIST,linear,36,32,1.0,LeNet-5,48,60,2544,4.9601874351501465,0.9837
MNIST,linear,36,32,1.0,LeNet-5,49,62,2597,5.081338167190552,0.9839
MNIST,linear,36,32,1.0,LeNet-5,50,63,2650,4.956441402435303,0.9841
MNIST,linear,36,32,1.0,LeNet-5,51,64,2703,4.942297697067261,0.9845
