dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
MNIST,naive,16,32,1.0,LeNet-5,1,7,118,11.850149393081665,0.9069
MNIST,naive,16,32,1.0,LeNet-5,2,10,236,8.456907272338867,0.9299
MNIST,naive,16,32,1.0,LeNet-5,3,13,354,8.392181634902954,0.9433
MNIST,naive,16,32,1.0,LeNet-5,4,16,472,8.413440942764282,0.9539
MNIST,naive,16,32,1.0,LeNet-5,5,18,590,8.252277135848999,0.957
MNIST,naive,16,32,1.0,LeNet-5,6,20,708,8.27609395980835,0.9632
MNIST,naive,16,32,1.0,LeNet-5,7,23,826,8.450404167175293,0.9664
MNIST,naive,16,32,1.0,LeNet-5,8,25,944,8.279362440109253,0.9699
MNIST,naive,16,32,1.0,LeNet-5,9,28,1062,8.394151449203491,0.9713
MNIST,naive,16,32,1.0,LeNet-5,10,30,1180,8.252922058105469,0.9734
MNIST,naive,16,32,1.0,LeNet-5,11,33,1298,8.367552518844604,0.9765
MNIST,naive,16,32,1.0,LeNet-5,12,35,1416,8.252951860427856,0.9771
MNIST,naive,16,32,1.0,LeNet-5,13,37,1534,8.296866178512573,0.978
MNIST,naive,16,32,1.0,LeNet-5,14,40,1652,8.381919145584106,0.9796
MNIST,naive,16,32,1.0,LeNet-5,15,42,1770,8.255648851394653,0.9812
MNIST,naive,16,32,1.0,LeNet-5,16,45,1888,8.47143006324768,0.9813
MNIST,naive,16,32,1.0,LeNet-5,17,47,2006,8.266899108886719,0.9831
MNIST,naive,16,32,1.0,LeNet-5,18,50,2124,8.389793395996094,0.9829
MNIST,naive,16,32,1.0,LeNet-5,19,52,2242,8.283229351043701,0.9832
MNIST,naive,16,32,1.0,LeNet-5,20,55,2360,8.411742925643921,0.9843
MNIST,naive,16,32,1.0,LeNet-5,21,57,2478,8.267921924591064,0.9846
MNIST,naive,16,32,1.0,LeNet-5,22,60,2596,8.41333293914795,0.9845
MNIST,naive,16,32,1.0,LeNet-5,23,62,2714,8.27815556526184,0.9846
MNIST,naive,16,32,1.0,LeNet-5,24,65,2832,8.325979232788086,0.9859
MNIST,naive,16,32,1.0,LeNet-5,25,67,2950,8.347264051437378,0.9851
MNIST,naive,16,32,1.0,LeNet-5,26,70,3068,8.371487855911255,0.9852
MNIST,naive,16,32,1.0,LeNet-5,27,72,3186,8.249882936477661,0.9853
MNIST,naive,16,32,1.0,LeNet-5,28,75,3304,8.355946063995361,0.9853
MNIST,naive,16,32,1.0,LeNet-5,29,77,3422,8.30281138420105,0.9853
MNIST,naive,16,32,1.0,LeNet-5,30,80,3540,8.332527875900269,0.986
MNIST,naive,16,32,1.0,LeNet-5,31,83,3658,8.359803915023804,0.9853
MNIST,naive,16,32,1.0,LeNet-5,32,85,3776,8.25337290763855,0.9868
MNIST,naive,16,32,1.0,LeNet-5,33,88,3894,8.372362852096558,0.9862
MNIST,naive,16,32,1.0,LeNet-5,34,90,4012,8.436978578567505,0.9857
MNIST,naive,16,32,1.0,LeNet-5,35,93,4130,8.439148426055908,0.9864
MNIST,naive,16,32,1.0,LeNet-5,36,95,4248,8.303560972213745,0.9868
MNIST,naive,16,32,1.0,LeNet-5,37,98,4366,8.401440143585205,0.9871
MNIST,naive,16,32,1.0,LeNet-5,38,100,4484,8.290557861328125,0.9879
MNIST,naive,16,32,1.0,LeNet-5,39,102,4602,8.280427694320679,0.9872
MNIST,naive,16,32,1.0,LeNet-5,40,105,4720,8.400440216064453,0.9866
MNIST,naive,16,32,1.0,LeNet-5,41,108,4838,8.399474143981934,0.9871
MNIST,naive,16,32,1.0,LeNet-5,42,110,4956,8.31629467010498,0.9873
MNIST,naive,16,32,1.0,LeNet-5,43,113,5074,8.402029752731323,0.9875
MNIST,naive,16,32,1.0,LeNet-5,44,115,5192,8.307229995727539,0.987
MNIST,naive,16,32,1.0,LeNet-5,45,118,5310,8.380357265472412,0.987
MNIST,naive,16,32,1.0,LeNet-5,46,120,5428,8.285687685012817,0.9875
MNIST,naive,16,32,1.0,LeNet-5,47,123,5546,8.359662532806396,0.987
MNIST,naive,16,32,1.0,LeNet-5,48,125,5664,8.238633155822754,0.9874
MNIST,naive,16,32,1.0,LeNet-5,49,127,5782,8.279317140579224,0.9871
MNIST,naive,16,32,1.0,LeNet-5,50,130,5900,8.420218467712402,0.9881
MNIST,naive,16,32,1.0,LeNet-5,51,133,6018,8.468535900115967,0.988
