dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
MNIST,sketch,4,32,1.0,LeNet-5,1,4,469,29.253880500793457,0.9466
MNIST,sketch,4,32,1.0,LeNet-5,2,8,938,26.202531337738037,0.9643
MNIST,sketch,4,32,1.0,LeNet-5,3,14,1407,26.266062021255493,0.9745
MNIST,sketch,4,32,1.0,LeNet-5,4,18,1876,26.1545889377594,0.9765
MNIST,sketch,4,32,1.0,LeNet-5,5,24,2345,26.341359853744507,0.9818
MNIST,sketch,4,32,1.0,LeNet-5,6,29,2814,26.37790584564209,0.9826
MNIST,sketch,4,32,1.0,LeNet-5,7,35,3283,26.22952628135681,0.983
MNIST,sketch,4,32,1.0,LeNet-5,8,41,3752,26.30155849456787,0.9843
MNIST,sketch,4,32,1.0,LeNet-5,9,47,4221,26.67647433280945,0.9841
MNIST,sketch,4,32,1.0,LeNet-5,10,53,4690,26.213425397872925,0.9851
MNIST,sketch,4,32,1.0,LeNet-5,11,58,5159,26.352855920791626,0.9864
MNIST,sketch,4,32,1.0,LeNet-5,12,64,5628,26.3459529876709,0.9853
MNIST,sketch,4,32,1.0,LeNet-5,13,70,6097,26.479076623916626,0.9869
MNIST,sketch,4,32,1.0,LeNet-5,14,77,6566,26.438886642456055,0.9858
MNIST,sketch,4,32,1.0,LeNet-5,15,82,7035,26.499770879745483,0.9871
MNIST,sketch,4,32,1.0,LeNet-5,16,88,7504,26.43221640586853,0.9855
MNIST,sketch,4,32,1.0,LeNet-5,17,95,7973,26.332091331481934,0.9856
MNIST,sketch,4,32,1.0,LeNet-5,18,100,8442,26.31018328666687,0.9869
MNIST,sketch,4,32,1.0,LeNet-5,19,107,8911,26.276284217834473,0.9871
MNIST,sketch,4,32,1.0,LeNet-5,20,113,9380,26.53982639312744,0.9877
MNIST,sketch,4,32,1.0,LeNet-5,21,120,9849,26.38884401321411,0.9864
MNIST,sketch,4,32,1.0,LeNet-5,22,126,10318,26.3728187084198,0.9851
MNIST,sketch,4,32,1.0,LeNet-5,23,133,10787,26.41870427131653,0.9858
MNIST,sketch,4,32,1.0,LeNet-5,24,139,11256,26.2876079082489,0.9873
MNIST,sketch,4,32,1.0,LeNet-5,25,146,11725,26.39461326599121,0.9865
MNIST,sketch,4,32,1.0,LeNet-5,26,152,12194,26.249162912368774,0.9868
MNIST,sketch,4,32,1.0,LeNet-5,27,157,12663,26.208404064178467,0.9866
MNIST,sketch,4,32,1.0,LeNet-5,28,167,13132,26.51835823059082,0.9871
MNIST,sketch,4,32,1.0,LeNet-5,29,174,13601,26.287856578826904,0.9864
MNIST,sketch,4,32,1.0,LeNet-5,30,178,14070,26.30067491531372,0.9872
MNIST,sketch,4,32,1.0,LeNet-5,31,185,14539,26.487841606140137,0.9873
MNIST,sketch,4,32,1.0,LeNet-5,32,191,15008,26.433831930160522,0.9879
MNIST,sketch,4,32,1.0,LeNet-5,33,198,15477,26.49272894859314,0.9867
MNIST,sketch,4,32,1.0,LeNet-5,34,206,15946,26.492772340774536,0.9867
MNIST,sketch,4,32,1.0,LeNet-5,35,213,16415,26.418171644210815,0.9884
MNIST,sketch,4,32,1.0,LeNet-5,36,214,16884,26.068439483642578,0.9881
MNIST,sketch,4,32,1.0,LeNet-5,37,220,17353,26.27458906173706,0.9883
MNIST,sketch,4,32,1.0,LeNet-5,38,229,17822,26.374749898910522,0.9855
MNIST,sketch,4,32,1.0,LeNet-5,39,243,18291,26.81454610824585,0.9869
MNIST,sketch,4,32,1.0,LeNet-5,40,250,18760,26.65222430229187,0.9869
MNIST,sketch,4,32,1.0,LeNet-5,41,258,19229,26.418192863464355,0.9866
MNIST,sketch,4,32,1.0,LeNet-5,42,262,19698,26.40414071083069,0.9866
MNIST,sketch,4,32,1.0,LeNet-5,43,266,20167,26.196849822998047,0.9874
MNIST,sketch,4,32,1.0,LeNet-5,44,271,20636,26.288676023483276,0.9875
MNIST,sketch,4,32,1.0,LeNet-5,45,281,21105,26.595566511154175,0.9866
MNIST,sketch,4,32,1.0,LeNet-5,46,291,21574,26.62193465232849,0.9866
MNIST,sketch,4,32,1.0,LeNet-5,47,299,22043,26.410454273223877,0.9849
MNIST,sketch,4,32,1.0,LeNet-5,48,303,22512,26.258345365524292,0.9872
MNIST,sketch,4,32,1.0,LeNet-5,49,304,22981,26.11374807357788,0.987
MNIST,sketch,4,32,1.0,LeNet-5,50,310,23450,26.329504013061523,0.9859
MNIST,sketch,4,32,1.0,LeNet-5,51,326,23919,26.756314754486084,0.9858
